,weight,height,label,predict
197,0.65,0.655,fat,fat
198,0.7,0.735,fat,fat
199,0.72,0.935,normal,normal
200,0.74,0.745,fat,fat
201,0.7,0.675,fat,fat
202,0.66,0.71,fat,fat
203,0.67,0.665,fat,fat
204,0.64,0.74,fat,fat
205,0.46,0.725,normal,normal
206,0.77,0.72,fat,fat
207,0.62,0.75,fat,fat
208,0.66,0.85,normal,normal
209,0.46,0.945,thin,thin
210,0.41,0.655,normal,normal
211,0.72,0.94,normal,normal
212,0.7,0.99,thin,thin
213,0.58,0.79,normal,normal
214,0.39,0.6,fat,fat
215,0.52,0.85,thin,thin
216,0.59,0.67,fat,fat
217,0.63,0.66,fat,fat
218,0.51,0.95,thin,thin
219,0.52,0.705,fat,fat
220,0.78,0.6,fat,fat
221,0.44,0.9,thin,thin
222,0.47,0.97,thin,thin
223,0.45,0.865,thin,thin
224,0.47,0.71,normal,normal
225,0.78,0.63,fat,fat
226,0.63,0.97,thin,thin
227,0.63,0.81,normal,normal
228,0.45,0.7,normal,normal
229,0.72,0.98,normal,normal
230,0.77,0.69,fat,fat
231,0.58,0.75,fat,fat
232,0.7,0.665,fat,fat
233,0.54,0.975,thin,thin
234,0.79,0.93,normal,normal
235,0.77,0.875,fat,fat
236,0.65,0.88,normal,normal
237,0.53,0.83,normal,normal
238,0.65,0.84,normal,normal
239,0.67,0.945,normal,normal
240,0.45,0.95,thin,thin
241,0.53,0.985,thin,thin
242,0.42,0.885,thin,thin
243,0.35,0.76,thin,thin
244,0.51,0.765,normal,normal
245,0.66,0.755,fat,fat
246,0.64,0.745,fat,fat
247,0.5,0.985,thin,thin
248,0.66,0.9,normal,normal
249,0.65,0.955,thin,thin
250,0.59,0.875,normal,normal
251,0.79,0.85,fat,fat
252,0.4,0.915,thin,thin
253,0.64,0.73,fat,fat
254,0.76,0.845,fat,fat
255,0.61,0.615,fat,fat
256,0.75,0.735,fat,fat
257,0.51,0.875,thin,thin
258,0.69,0.96,normal,normal
259,0.49,0.61,fat,fat
260,0.4,0.79,thin,thin
261,0.68,0.645,fat,fat
262,0.67,0.65,fat,fat
263,0.71,0.975,normal,normal
264,0.37,0.99,thin,thin
265,0.44,0.69,normal,normal
266,0.47,0.615,fat,fat
267,0.73,0.76,fat,fat
268,0.7,0.625,fat,fat
269,0.58,0.81,normal,normal
270,0.49,0.65,fat,fat
271,0.77,0.96,normal,normal
272,0.67,0.96,thin,thin
273,0.4,0.72,normal,normal
274,0.77,0.63,fat,fat
275,0.56,0.715,fat,fat
276,0.4,0.745,thin,thin
277,0.7,0.89,normal,normal
278,0.67,0.945,normal,normal
279,0.45,0.97,thin,thin
280,0.68,0.685,fat,fat
281,0.71,0.925,normal,normal
282,0.5,0.91,thin,thin
283,0.46,0.77,normal,normal
284,0.57,0.61,fat,fat
285,0.61,1.0,thin,thin
286,0.75,0.78,fat,fat
287,0.55,0.69,fat,fat
288,0.77,0.62,fat,fat
289,0.37,0.86,thin,thin
290,0.36,0.925,thin,thin
291,0.4,0.645,normal,normal
292,0.62,0.795,normal,normal
293,0.54,0.965,thin,thin
294,0.78,0.77,fat,fat
295,0.37,0.625,normal,normal
296,0.77,0.81,fat,fat
297,0.46,0.975,thin,thin
298,0.64,0.985,thin,thin
299,0.56,0.715,fat,fat
300,0.56,0.885,thin,thin
301,0.58,0.79,normal,normal
302,0.76,0.66,fat,fat
303,0.77,0.995,normal,normal
304,0.77,0.805,fat,fat
305,0.72,0.935,normal,normal
306,0.58,0.6,fat,fat
307,0.64,0.76,fat,fat
308,0.45,0.885,thin,thin
309,0.51,0.98,thin,thin
310,0.43,0.7,normal,normal
311,0.47,0.86,thin,thin
312,0.79,0.62,fat,fat
313,0.39,0.805,thin,thin
314,0.64,0.76,fat,fat
315,0.35,0.745,thin,thin
316,0.35,0.755,thin,thin
317,0.57,0.83,normal,normal
318,0.4,0.635,normal,normal
319,0.46,0.955,thin,thin
320,0.61,0.805,normal,normal
321,0.37,0.74,thin,thin
322,0.41,0.605,fat,fat
323,0.67,0.65,fat,fat
324,0.59,0.72,fat,fat
325,0.66,0.895,normal,normal
326,0.73,0.93,normal,normal
327,0.49,0.805,normal,normal
328,0.35,0.81,thin,thin
329,0.52,0.67,fat,fat
330,0.74,0.615,fat,fat
331,0.4,0.925,thin,thin
332,0.65,0.89,normal,normal
333,0.54,0.77,normal,normal
334,0.61,0.755,fat,fat
335,0.68,0.875,normal,normal
336,0.46,0.61,fat,fat
337,0.8,0.675,fat,fat
338,0.4,0.94,thin,thin
339,0.56,1.0,thin,thin
340,0.79,0.975,normal,normal
341,0.67,0.805,fat,fat
342,0.57,0.94,thin,thin
343,0.38,0.805,thin,thin
344,0.5,0.6,fat,fat
345,0.74,0.65,fat,fat
346,0.68,0.695,fat,fat
347,0.79,0.64,fat,fat
348,0.7,0.85,normal,normal
349,0.79,0.915,normal,normal
350,0.73,0.675,fat,fat
351,0.6,0.715,fat,fat
352,0.37,0.69,normal,normal
353,0.7,0.615,fat,fat
354,0.72,0.645,fat,fat
355,0.68,0.62,fat,fat
356,0.68,0.865,normal,normal
357,0.54,0.735,normal,normal
358,0.57,0.75,fat,fat
359,0.73,0.88,normal,normal
360,0.67,0.99,thin,thin
361,0.4,0.99,thin,thin
362,0.7,0.9,normal,normal
363,0.71,0.87,normal,normal
364,0.62,0.63,fat,fat
365,0.59,0.775,normal,normal
366,0.36,0.775,thin,thin
367,0.43,0.99,thin,thin
368,0.54,0.635,fat,fat
369,0.46,0.815,thin,thin
370,0.49,0.795,normal,normal
371,0.8,0.965,normal,normal
372,0.7,0.95,normal,normal
373,0.52,0.725,normal,normal
374,0.37,0.885,thin,thin
375,0.38,0.795,thin,thin
376,0.52,0.91,thin,thin
377,0.4,0.78,thin,thin
378,0.52,0.815,normal,normal
379,0.55,0.95,thin,thin
380,0.7,0.695,fat,fat
381,0.62,0.98,thin,thin
382,0.38,0.675,normal,normal
383,0.73,0.75,fat,fat
384,0.79,0.625,fat,fat
385,0.45,0.915,thin,thin
386,0.71,0.735,fat,fat
387,0.53,0.915,thin,thin
388,0.67,0.77,fat,fat
389,0.37,0.7,normal,normal
390,0.73,0.605,fat,fat
391,0.4,0.865,thin,thin
392,0.39,0.635,normal,normal
393,0.38,0.98,thin,thin
394,0.66,0.745,fat,fat
395,0.41,0.79,thin,thin
396,0.57,0.86,normal,normal
397,0.46,0.88,thin,thin
398,0.56,0.755,normal,normal
399,0.55,0.62,fat,fat
400,0.5,0.745,normal,normal
401,0.52,0.675,fat,fat
402,0.61,0.955,thin,thin
403,0.49,0.825,thin,thin
404,0.69,0.795,fat,fat
405,0.76,0.99,normal,normal
406,0.73,0.755,fat,fat
407,0.57,0.83,normal,normal
408,0.64,0.905,normal,normal
409,0.71,0.9,normal,normal
410,0.38,0.83,thin,thin
411,0.6,0.815,normal,normal
412,0.75,0.625,fat,fat
413,0.51,0.935,thin,thin
414,0.69,0.855,normal,normal
415,0.76,0.985,normal,normal
416,0.77,0.875,fat,fat
417,0.5,0.96,thin,thin
418,0.71,0.94,normal,normal
419,0.58,0.645,fat,fat
420,0.58,0.81,normal,normal
421,0.71,0.93,normal,normal
422,0.54,0.89,thin,thin
423,0.8,0.68,fat,fat
424,0.71,0.685,fat,fat
425,0.41,0.91,thin,thin
426,0.51,0.71,fat,fat
427,0.37,0.815,thin,thin
428,0.54,0.985,thin,thin
429,0.72,0.945,normal,normal
430,0.47,0.69,normal,normal
431,0.42,0.9,thin,thin
432,0.53,0.8,normal,normal
433,0.39,0.75,thin,thin
434,0.44,0.67,normal,normal
435,0.37,0.735,thin,thin
436,0.54,0.79,normal,normal
437,0.72,0.75,fat,fat
438,0.56,0.695,fat,fat
439,0.73,0.895,normal,normal
440,0.77,0.855,fat,fat
441,0.64,0.775,fat,fat
442,0.73,0.745,fat,fat
443,0.4,0.86,thin,thin
444,0.4,0.86,thin,thin
445,0.68,0.855,normal,normal
446,0.49,0.68,fat,fat
447,0.6,1.0,thin,thin
448,0.71,0.735,fat,fat
449,0.62,0.72,fat,fat
450,0.74,0.735,fat,fat
451,0.38,0.85,thin,thin
452,0.71,0.755,fat,fat
453,0.66,0.98,thin,thin
454,0.66,0.85,normal,normal
455,0.45,0.87,thin,thin
456,0.55,0.62,fat,fat
457,0.41,0.905,thin,thin
458,0.56,0.675,fat,fat
459,0.57,0.65,fat,fat
460,0.79,0.955,normal,normal
461,0.58,0.655,fat,fat
462,0.39,0.825,thin,thin
463,0.62,0.77,fat,fat
464,0.65,0.72,fat,fat
465,0.71,0.85,normal,normal
466,0.78,0.705,fat,fat
467,0.49,0.98,thin,thin
468,0.53,0.815,normal,normal
469,0.4,0.65,normal,normal
470,0.7,0.815,fat,fat
471,0.78,0.785,fat,fat
472,0.51,0.925,thin,thin
473,0.37,0.77,thin,thin
474,0.51,0.91,thin,thin
475,0.72,0.865,normal,normal
476,0.56,0.985,thin,thin
477,0.57,0.68,fat,fat
478,0.57,0.955,thin,thin
479,0.39,0.83,thin,thin
480,0.55,0.78,normal,normal
481,0.44,0.65,fat,fat
482,0.7,0.675,fat,fat
483,0.53,0.805,normal,normal
484,0.68,0.915,normal,normal
485,0.41,0.6,fat,fat
486,0.54,0.84,normal,normal
487,0.63,0.985,thin,thin
488,0.58,0.91,thin,thin
489,0.42,0.635,fat,fat
490,0.61,0.945,thin,thin
491,0.72,0.82,fat,fat
492,0.64,0.98,thin,thin
493,0.72,0.6,fat,fat
494,0.47,0.73,normal,normal
495,0.6,0.795,normal,normal
496,0.64,0.855,normal,normal
497,0.45,0.99,thin,thin
498,0.47,0.68,fat,fat
499,0.42,0.885,thin,thin
500,0.38,0.645,normal,normal
501,0.46,0.94,thin,thin
502,0.52,0.615,fat,fat
503,0.6,0.9,normal,normal
504,0.39,0.97,thin,thin
505,0.64,0.73,fat,fat
506,0.69,0.61,fat,fat
507,0.41,0.81,thin,thin
508,0.63,0.625,fat,fat
509,0.8,0.84,fat,fat
510,0.45,0.765,normal,normal
511,0.69,0.845,normal,normal
512,0.35,0.72,thin,thin
513,0.66,0.655,fat,fat
514,0.49,0.97,thin,thin
515,0.63,0.67,fat,fat
516,0.61,0.875,normal,normal
517,0.46,0.625,fat,fat
518,0.41,0.895,thin,thin
519,0.55,0.92,thin,thin
520,0.38,0.725,thin,thin
521,0.47,0.9,thin,thin
522,0.46,0.95,thin,thin
523,0.38,0.945,thin,thin
524,0.59,0.89,normal,normal
525,0.48,0.825,thin,thin
526,0.7,0.995,thin,thin
527,0.63,0.97,thin,thin
528,0.75,0.635,fat,fat
529,0.37,0.765,thin,thin
530,0.41,0.985,thin,thin
531,0.57,0.795,normal,normal
532,0.67,0.72,fat,fat
533,0.6,0.83,normal,normal
534,0.37,0.605,fat,fat
535,0.68,0.6,fat,fat
536,0.38,0.78,thin,thin
537,0.57,0.705,fat,fat
538,0.52,0.835,normal,normal
539,0.6,0.905,thin,thin
540,0.68,0.845,normal,normal
541,0.62,0.815,normal,normal
542,0.52,0.935,thin,thin
543,0.79,0.835,fat,fat
544,0.66,0.95,thin,thin
545,0.42,0.855,thin,thin
546,0.63,0.78,fat,fat
547,0.76,0.865,fat,fat
548,0.47,0.84,thin,thin
549,0.43,0.6,fat,fat
550,0.73,0.61,fat,fat
551,0.7,0.695,fat,fat
552,0.4,0.765,thin,thin
553,0.61,0.805,normal,normal
554,0.59,0.94,thin,thin
555,0.39,0.935,thin,thin
556,0.6,0.94,thin,thin
557,0.63,0.975,thin,thin
558,0.76,0.905,normal,normal
559,0.69,0.72,fat,fat
560,0.43,0.615,fat,fat
561,0.54,1.0,thin,thin
562,0.71,0.88,normal,normal
563,0.56,0.73,fat,fat
564,0.67,0.7,fat,fat
565,0.35,0.67,normal,normal
566,0.45,0.705,normal,normal
567,0.59,0.8,normal,normal
568,0.54,0.71,fat,fat
569,0.7,0.64,fat,fat
570,0.75,0.735,fat,fat
571,0.62,0.85,normal,normal
572,0.69,0.815,fat,fat
573,0.68,0.705,fat,fat
574,0.53,0.895,thin,thin
575,0.42,0.79,thin,thin
576,0.68,0.79,fat,fat
577,0.7,0.765,fat,fat
578,0.35,0.665,normal,normal
579,0.36,0.925,thin,thin
580,0.42,0.845,thin,thin
581,0.55,0.795,normal,normal
582,0.78,0.855,fat,fat
583,0.58,0.84,normal,normal
584,0.65,0.665,fat,fat
585,0.61,0.935,thin,thin
586,0.8,0.725,fat,fat
587,0.69,0.995,thin,thin
588,0.35,0.75,thin,thin
589,0.76,0.795,fat,fat
590,0.6,0.965,thin,thin
591,0.73,0.68,fat,fat
592,0.79,0.76,fat,fat
593,0.6,0.74,fat,fat
594,0.41,0.745,thin,normal
595,0.61,0.715,fat,fat
596,0.74,0.725,fat,fat
597,0.71,0.665,fat,fat
598,0.58,0.97,thin,thin
599,0.56,0.705,fat,fat
600,0.47,0.83,thin,thin
601,0.79,0.98,normal,normal
602,0.62,0.785,fat,fat
603,0.63,0.765,fat,fat
604,0.39,0.75,thin,thin
605,0.66,0.63,fat,fat
606,0.69,0.945,normal,normal
607,0.54,0.95,thin,thin
608,0.71,0.725,fat,fat
609,0.52,0.795,normal,normal
610,0.8,0.735,fat,fat
611,0.39,0.715,normal,normal
612,0.73,0.6,fat,fat
613,0.66,0.89,normal,normal
614,0.58,0.79,normal,normal
615,0.47,0.845,thin,thin
616,0.58,0.915,thin,thin
617,0.72,0.62,fat,fat
618,0.68,0.995,thin,thin
619,0.42,0.885,thin,thin
620,0.35,0.905,thin,thin
621,0.53,0.75,normal,normal
622,0.68,0.91,normal,normal
623,0.56,0.835,normal,normal
624,0.57,0.87,normal,normal
625,0.56,0.715,fat,fat
626,0.54,0.85,normal,normal
627,0.54,0.8,normal,normal
628,0.79,0.69,fat,fat
629,0.61,0.91,thin,thin
630,0.42,0.615,fat,fat
631,0.41,0.64,fat,fat
632,0.55,0.74,fat,fat
633,0.65,0.83,normal,normal
634,0.58,0.68,fat,fat
635,0.4,0.84,thin,thin
636,0.74,0.75,fat,fat
637,0.59,0.64,fat,fat
638,0.65,0.87,normal,normal
639,0.71,0.67,fat,fat
640,0.75,0.68,fat,fat
641,0.36,0.685,normal,normal
642,0.45,0.635,fat,fat
643,0.53,0.865,thin,thin
644,0.77,0.66,fat,fat
645,0.7,0.95,normal,normal
646,0.51,0.655,fat,fat
647,0.66,1.0,thin,thin
648,0.52,0.755,normal,normal
649,0.5,0.98,thin,thin
650,0.55,0.965,thin,thin
651,0.45,0.76,normal,normal
652,0.52,0.99,thin,thin
653,0.7,0.965,normal,normal
654,0.74,0.86,fat,normal
655,0.38,0.865,thin,thin
656,0.56,0.765,normal,normal
657,0.76,0.89,normal,normal
658,0.68,0.895,normal,normal
659,0.6,0.9,normal,normal
660,0.44,0.83,thin,thin
661,0.59,0.805,normal,normal
662,0.56,0.675,fat,fat
663,0.38,0.98,thin,thin
664,0.56,0.79,normal,normal
665,0.6,0.775,normal,normal
666,0.66,0.885,normal,normal
667,0.79,0.92,normal,normal
668,0.72,0.695,fat,fat
669,0.6,0.985,thin,thin
670,0.58,0.955,thin,thin
671,0.54,0.655,fat,fat
672,0.45,0.845,thin,thin
673,0.35,0.715,thin,thin
674,0.36,0.885,thin,thin
675,0.63,1.0,thin,thin
676,0.47,0.65,fat,fat
677,0.56,0.695,fat,fat
678,0.75,0.65,fat,fat
679,0.51,0.835,thin,thin
680,0.35,0.935,thin,thin
681,0.42,0.965,thin,thin
682,0.66,0.615,fat,fat
683,0.55,0.89,thin,thin
684,0.64,0.96,thin,thin
685,0.74,0.635,fat,fat
686,0.41,0.915,thin,thin
687,0.55,0.95,thin,thin
688,0.56,0.965,thin,thin
689,0.35,0.925,thin,thin
690,0.56,0.72,fat,fat
691,0.76,0.91,normal,normal
692,0.52,0.815,normal,normal
693,0.77,0.615,fat,fat
694,0.54,0.96,thin,thin
695,0.79,0.79,fat,fat
696,0.56,0.89,thin,thin
697,0.74,0.895,normal,normal
698,0.78,0.935,normal,normal
699,0.58,0.82,normal,normal
700,0.65,0.665,fat,fat
701,0.67,0.985,thin,thin
702,0.73,0.625,fat,fat
703,0.47,0.95,thin,thin
704,0.6,0.775,normal,normal
705,0.38,0.845,thin,thin
706,0.39,0.76,thin,thin
707,0.79,0.64,fat,fat
708,0.7,0.645,fat,fat
709,0.64,0.63,fat,fat
710,0.56,0.72,fat,fat
711,0.57,0.815,normal,normal
712,0.58,0.865,normal,normal
713,0.37,0.6,fat,fat
714,0.5,0.975,thin,thin
715,0.48,0.785,normal,normal
716,0.46,0.955,thin,thin
717,0.43,0.905,thin,thin
718,0.36,0.85,thin,thin
719,0.44,0.95,thin,thin
720,0.8,0.905,normal,normal
721,0.56,0.775,normal,normal
722,0.42,0.97,thin,thin
723,0.61,0.865,normal,normal
724,0.61,0.705,fat,fat
725,0.6,0.765,fat,fat
726,0.55,0.76,normal,normal
727,0.62,0.9,normal,normal
728,0.67,0.755,fat,fat
729,0.72,0.97,normal,normal
730,0.71,0.97,normal,normal
731,0.43,0.635,fat,fat
732,0.77,0.85,fat,fat
733,0.53,0.635,fat,fat
734,0.5,0.985,thin,thin
735,0.53,0.665,fat,fat
736,0.51,0.65,fat,fat
737,0.53,0.82,normal,normal
738,0.49,0.705,normal,normal
739,0.75,0.83,fat,fat
740,0.61,0.955,thin,thin
741,0.45,0.81,thin,thin
742,0.55,0.605,fat,fat
743,0.75,0.915,normal,normal
744,0.62,0.86,normal,normal
745,0.56,0.865,normal,normal
746,0.68,0.685,fat,fat
747,0.43,0.755,normal,normal
748,0.66,0.655,fat,fat
749,0.61,0.975,thin,thin
750,0.57,0.63,fat,fat
751,0.73,0.745,fat,fat
752,0.52,0.935,thin,thin
753,0.72,0.905,normal,normal
754,0.5,0.885,thin,thin
755,0.62,0.62,fat,fat
756,0.76,0.73,fat,fat
757,0.79,0.685,fat,fat
758,0.55,0.895,thin,thin
759,0.77,0.795,fat,fat
760,0.73,0.615,fat,fat
761,0.8,0.665,fat,fat
762,0.75,0.86,fat,fat
763,0.49,0.98,thin,thin
764,0.53,0.825,normal,normal
765,0.56,0.835,normal,normal
766,0.68,0.915,normal,normal
767,0.55,0.955,thin,thin
768,0.59,0.66,fat,fat
769,0.67,0.99,thin,thin
770,0.62,0.63,fat,fat
771,0.75,0.84,fat,fat
772,0.66,0.89,normal,normal
773,0.41,0.995,thin,thin
774,0.76,0.625,fat,fat
775,0.6,0.91,thin,thin
776,0.65,0.79,fat,fat
777,0.43,0.975,thin,thin
778,0.51,0.83,normal,thin
779,0.53,0.615,fat,fat
780,0.41,0.855,thin,thin
781,0.49,0.905,thin,thin
782,0.49,0.61,fat,fat
783,0.72,0.93,normal,normal
784,0.55,0.625,fat,fat
785,0.73,0.845,fat,fat
786,0.48,0.94,thin,thin
787,0.71,0.93,normal,normal
788,0.42,0.725,normal,normal
789,0.73,0.68,fat,fat
790,0.72,0.865,normal,normal
791,0.79,0.725,fat,fat
792,0.63,0.775,fat,fat
793,0.58,0.81,normal,normal
794,0.48,0.865,thin,thin
795,0.49,0.61,fat,fat
796,0.36,0.71,thin,thin
797,0.52,0.69,fat,fat
798,0.64,0.735,fat,fat
799,0.55,0.98,thin,thin
800,0.57,0.86,normal,normal
801,0.37,0.61,normal,fat
802,0.51,0.995,thin,thin
803,0.43,0.845,thin,thin
804,0.4,0.77,thin,thin
805,0.63,0.845,normal,normal
806,0.62,0.91,normal,normal
807,0.65,0.63,fat,fat
808,0.57,0.96,thin,thin
809,0.51,0.805,normal,normal
810,0.65,0.915,normal,normal
811,0.59,0.735,fat,fat
812,0.55,0.98,thin,thin
813,0.48,0.775,normal,normal
814,0.5,0.835,thin,thin
815,0.46,0.795,thin,thin
816,0.59,0.945,thin,thin
817,0.71,0.825,fat,fat
818,0.68,0.945,normal,normal
819,0.62,0.84,normal,normal
820,0.36,0.605,normal,normal
821,0.66,0.74,fat,fat
822,0.72,0.925,normal,normal
823,0.48,0.915,thin,thin
824,0.76,0.65,fat,fat
825,0.44,0.695,normal,normal
826,0.38,0.67,normal,normal
827,0.55,0.735,fat,fat
828,0.71,0.915,normal,normal
829,0.51,0.685,fat,fat
830,0.52,0.62,fat,fat
831,0.35,0.69,thin,normal
832,0.58,0.675,fat,fat
833,0.44,0.645,fat,fat
834,0.52,0.975,thin,thin
835,0.67,0.985,thin,thin
836,0.73,0.675,fat,fat
837,0.43,0.71,normal,normal
838,0.48,0.765,normal,normal
839,0.56,0.97,thin,thin
840,0.52,0.685,fat,fat
841,0.43,0.95,thin,thin
842,0.8,0.79,fat,fat
843,0.79,0.88,fat,fat
844,0.41,0.935,thin,thin
845,0.76,0.96,normal,normal
846,0.51,0.635,fat,fat
847,0.41,0.995,thin,thin
848,0.68,0.845,normal,normal
849,0.38,0.985,thin,thin
850,0.35,0.645,normal,normal
851,0.39,0.995,thin,thin
852,0.36,0.655,normal,normal
853,0.73,0.835,fat,fat
854,0.4,0.855,thin,thin
855,0.45,0.76,normal,normal
856,0.56,0.62,fat,fat
857,0.44,0.96,thin,thin
858,0.58,0.865,normal,normal
859,0.54,0.72,fat,fat
860,0.42,0.61,fat,fat
861,0.57,0.6,fat,fat
862,0.72,0.69,fat,fat
863,0.5,0.695,fat,fat
864,0.75,0.865,fat,normal
865,0.79,0.95,normal,normal
866,0.41,0.745,thin,normal
867,0.79,0.74,fat,fat
868,0.76,0.915,normal,normal
869,0.59,0.81,normal,normal
870,0.48,0.82,thin,thin
871,0.57,0.76,normal,normal
872,0.76,0.78,fat,fat
